Tam. Entrada,BubbleSort,SelectionSort,InsertionSort,TimSort,HeapSort,QuickSort,ShellSort,MergeSort
1000,0.8579709529876709,0.1949930191040039,0.1149957180023193,0.1739933490753173,0.0369997024536132,0.005000352859497,0.5839793682098389,0.0179977416992187
10000,64.74803113937378,9.955745935440063,22.497469663619995,0.0899977684020996,0.1909940242767334,0.0399990081787109,14.685686349868774,0.1059968471527099
100000,7043.556255102158,1785.6034698486328,2751.7437303066254,3.3170149326324463,1.1790056228637695,1.8490095138549805,2394.6361186504364,3.04601788520813
200000,32943.78420305252,7651.178181171417,11309.610386133194,7.890047550201416,6.740021467208862,3.350003719329834,10750.595168352129,6.060034990310669
300000,0.0,18265.504225969315,27223.49873995781,10.851048469543455,8.843039989471436,6.564030170440674,25420.35251021385,14.069093704223633
400000,0.0,32797.80356025696,0.0,15.49011254310608,12.1300950050354,7.870059251785278,0.0,12.080059289932251
500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000000,0.0,0.0,0.0,41.47020435333252,27.11013340950012,18.90009331703186,0.0,37.48014521598816
